service_number,unit_id,unit_posting,service,rank,age,years_of_service,surge_exposure,latent_strain,label_positive
SYNTH-CRPF-04-655915,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,33,11,0.7475,0.045216,0
SYNTH-CRPF-04-908940,CRPF-04,law and order deployment,crpf,Sub-Inspector,40,19,0.6246,0.340479,0
SYNTH-CRPF-04-581917,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,30,10,0.4106,0.345624,0
SYNTH-CRPF-04-922543,CRPF-04,law and order deployment,crpf,Constable,23,2,0.298,0.230502,0
SYNTH-CRPF-04-495773,CRPF-04,law and order deployment,crpf,Assistant Commandant,52,28,0.6944,0.296184,0
SYNTH-CRPF-04-643676,CRPF-04,law and order deployment,crpf,Head Constable,29,6,0.8294,0.278898,0
SYNTH-CRPF-04-739946,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,32,11,0.2291,0.240003,0
SYNTH-CRPF-04-987416,CRPF-04,law and order deployment,crpf,Inspector,47,23,0.7174,0.167412,0
SYNTH-CRPF-04-655096,CRPF-04,law and order deployment,crpf,Head Constable,30,7,0.5066,0.29605,0
SYNTH-CRPF-04-846959,CRPF-04,law and order deployment,crpf,Inspector,41,20,0.3407,0.05565,0
SYNTH-CRPF-04-515110,CRPF-04,law and order deployment,crpf,Head Constable,32,9,0.6893,0.362134,0
SYNTH-CRPF-04-618418,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,31,10,0.9621,0.034602,0
SYNTH-CRPF-04-920137,CRPF-04,law and order deployment,crpf,Constable,25,3,0.5725,0.350908,0
SYNTH-CRPF-04-131040,CRPF-04,law and order deployment,crpf,Constable,26,4,0.8991,0.175304,0
SYNTH-CRPF-04-851599,CRPF-04,law and order deployment,crpf,Sub-Inspector,42,19,0.5141,0.218283,0
SYNTH-CRPF-04-377191,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,36,13,0.5179,0.125557,0
SYNTH-CRPF-04-965440,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,35,11,0.832,0.518938,0
SYNTH-CRPF-04-229883,CRPF-04,law and order deployment,crpf,Assistant Commandant,48,26,0.8806,0.164297,0
SYNTH-CRPF-04-503264,CRPF-04,law and order deployment,crpf,Assistant Commandant,49,25,0.6113,0.371036,0
SYNTH-CRPF-04-427896,CRPF-04,law and order deployment,crpf,Head Constable,30,7,0.9163,0.162541,0
SYNTH-CRPF-04-689218,CRPF-04,law and order deployment,crpf,Inspector,42,20,0.7435,0.275349,0
SYNTH-CRPF-04-282186,CRPF-04,law and order deployment,crpf,Assistant Commandant,51,28,0.9108,0.091393,0
SYNTH-CRPF-04-137828,CRPF-04,law and order deployment,crpf,Inspector,44,22,0.635,0.291323,0
SYNTH-CRPF-04-473396,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,34,12,0.5266,0.558863,1
SYNTH-CRPF-04-773084,CRPF-04,law and order deployment,crpf,Head Constable,31,8,0.9427,0.155311,0
SYNTH-CRPF-04-112118,CRPF-04,law and order deployment,crpf,Head Constable,30,7,0.8471,0.113147,0
SYNTH-CRPF-04-885691,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,36,12,0.8913,0.289142,0
SYNTH-CRPF-04-231678,CRPF-04,law and order deployment,crpf,Head Constable,31,8,0.5708,0.587012,1
SYNTH-CRPF-04-468840,CRPF-04,law and order deployment,crpf,Head Constable,31,8,0.6532,0.443926,0
SYNTH-CRPF-04-912102,CRPF-04,law and order deployment,crpf,Head Constable,27,5,0.7443,0.112559,0
SYNTH-CRPF-04-168058,CRPF-04,law and order deployment,crpf,Inspector,40,20,0.6441,0.318525,0
SYNTH-CRPF-04-928526,CRPF-04,law and order deployment,crpf,Sub-Inspector,39,18,0.6351,0.279425,0
SYNTH-CRPF-04-783312,CRPF-04,law and order deployment,crpf,Inspector,45,21,0.5533,0.273483,0
SYNTH-CRPF-04-540931,CRPF-04,law and order deployment,crpf,Inspector,45,22,0.5574,0.246249,0
SYNTH-CRPF-04-222430,CRPF-04,law and order deployment,crpf,Inspector,45,24,0.6193,0.404974,0
SYNTH-CRPF-04-944149,CRPF-04,law and order deployment,crpf,Head Constable,31,7,0.4839,0.574663,1
SYNTH-CRPF-04-252852,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,31,11,0.5426,0.374478,0
SYNTH-CRPF-04-208468,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,32,11,0.8305,0.326197,0
SYNTH-CRPF-04-512743,CRPF-04,law and order deployment,crpf,Sub-Inspector,42,18,0.8358,0.087097,0
SYNTH-CRPF-04-468426,CRPF-04,law and order deployment,crpf,Head Constable,28,8,0.1828,0.107687,0
SYNTH-CRPF-04-808332,CRPF-04,law and order deployment,crpf,Head Constable,29,9,0.7848,0.070552,0
SYNTH-CRPF-04-836907,CRPF-04,law and order deployment,crpf,Head Constable,27,5,0.4439,0.211874,0
SYNTH-CRPF-04-177041,CRPF-04,law and order deployment,crpf,Head Constable,28,8,0.8606,0.219139,0
SYNTH-CRPF-04-358646,CRPF-04,law and order deployment,crpf,Sub-Inspector,36,15,0.1459,0.212999,0
SYNTH-CRPF-04-221141,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,37,14,0.4027,0.232767,0
SYNTH-CRPF-04-388205,CRPF-04,law and order deployment,crpf,Assistant Commandant,50,27,0.5566,0.366914,0
SYNTH-CRPF-04-203472,CRPF-04,law and order deployment,crpf,Sub-Inspector,36,16,0.9253,0.16177,0
SYNTH-CRPF-04-732549,CRPF-04,law and order deployment,crpf,Assistant Commandant,47,25,0.1512,0.060409,0
SYNTH-CRPF-04-280363,CRPF-04,law and order deployment,crpf,Constable,27,4,0.8116,0.281746,0
SYNTH-CRPF-04-621737,CRPF-04,law and order deployment,crpf,Inspector,46,22,0.6886,0.375452,0
SYNTH-CRPF-04-115724,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,34,14,0.7342,0.501597,0
SYNTH-CRPF-04-860089,CRPF-04,law and order deployment,crpf,Inspector,44,22,0.7219,0.289109,0
SYNTH-CRPF-04-310230,CRPF-04,law and order deployment,crpf,Inspector,43,20,0.1632,0.200697,0
SYNTH-CRPF-04-506090,CRPF-04,law and order deployment,crpf,Constable,22,1,0.7014,0.625723,1
SYNTH-CRPF-04-315833,CRPF-04,law and order deployment,crpf,Assistant Commandant,50,26,0.1474,0.239433,0
SYNTH-CRPF-04-655672,CRPF-04,law and order deployment,crpf,Head Constable,28,8,0.6828,0.098872,0
SYNTH-CRPF-04-202670,CRPF-04,law and order deployment,crpf,Inspector,44,20,0.6978,0.477108,0
SYNTH-CRPF-04-716770,CRPF-04,law and order deployment,crpf,Sub-Inspector,41,18,0.8466,0.352537,0
SYNTH-CRPF-04-828891,CRPF-04,law and order deployment,crpf,Inspector,47,23,0.4427,0.09495,0
SYNTH-CRPF-04-239097,CRPF-04,law and order deployment,crpf,Assistant Commandant,49,26,0.3653,0.066655,0
SYNTH-CRPF-04-394184,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,38,14,0.4441,0.2912,0
SYNTH-CRPF-04-432465,CRPF-04,law and order deployment,crpf,Sub-Inspector,41,17,0.7093,0.126018,0
SYNTH-CRPF-04-170068,CRPF-04,law and order deployment,crpf,Head Constable,27,6,0.7743,0.155433,0
SYNTH-CRPF-04-267866,CRPF-04,law and order deployment,crpf,Sub-Inspector,39,17,0.9343,0.403559,0
SYNTH-CRPF-04-965026,CRPF-04,law and order deployment,crpf,Assistant Commandant,49,26,0.5031,0.278426,0
SYNTH-CRPF-04-898326,CRPF-04,law and order deployment,crpf,Constable,26,2,0.8884,0.499193,0
SYNTH-CRPF-04-131001,CRPF-04,law and order deployment,crpf,Assistant Commandant,50,26,0.7119,0.018683,0
SYNTH-CRPF-04-586213,CRPF-04,law and order deployment,crpf,Inspector,43,23,0.9647,0.168943,0
SYNTH-CRPF-04-201449,CRPF-04,law and order deployment,crpf,Inspector,45,21,0.5534,0.495791,0
SYNTH-CRPF-04-865125,CRPF-04,law and order deployment,crpf,Inspector,47,24,0.5241,0.114553,0
SYNTH-CRPF-04-462169,CRPF-04,law and order deployment,crpf,Assistant Sub-Inspector,30,10,0.6686,0.137462,0
SYNTH-CRPF-04-362807,CRPF-04,law and order deployment,crpf,Inspector,44,23,0.6527,0.362282,0
SYNTH-CRPF-05-620940,CRPF-05,group centre,crpf,Assistant Sub-Inspector,34,13,0.6317,0.095645,0
SYNTH-CRPF-05-368424,CRPF-05,group centre,crpf,Inspector,43,20,0.6954,0.128819,0
SYNTH-CRPF-05-677314,CRPF-05,group centre,crpf,Assistant Sub-Inspector,35,14,0.5708,0.466082,0
SYNTH-CRPF-05-627823,CRPF-05,group centre,crpf,Sub-Inspector,38,15,0.7612,0.207175,0
SYNTH-CRPF-05-600848,CRPF-05,group centre,crpf,Sub-Inspector,43,19,0.6063,0.436227,0
SYNTH-CRPF-05-815495,CRPF-05,group centre,crpf,Inspector,43,21,0.8016,0.488249,0
SYNTH-CRPF-05-307586,CRPF-05,group centre,crpf,Sub-Inspector,39,16,0.4586,0.389552,0
SYNTH-CRPF-05-653343,CRPF-05,group centre,crpf,Assistant Sub-Inspector,33,11,0.7499,0.12756,0
SYNTH-CRPF-05-478252,CRPF-05,group centre,crpf,Assistant Commandant,48,27,0.7211,0.2571,0
SYNTH-CRPF-05-550965,CRPF-05,group centre,crpf,Assistant Sub-Inspector,32,12,0.532,0.085906,0
SYNTH-CRPF-05-170998,CRPF-05,group centre,crpf,Inspector,42,20,0.582,0.348272,0
SYNTH-CRPF-05-251616,CRPF-05,group centre,crpf,Head Constable,28,8,0.6521,0.20119,0
SYNTH-CRPF-05-129345,CRPF-05,group centre,crpf,Constable,27,4,0.2228,0.042194,0
SYNTH-CRPF-05-315047,CRPF-05,group centre,crpf,Assistant Sub-Inspector,33,10,0.4201,0.241452,0
SYNTH-CRPF-05-228468,CRPF-05,group centre,crpf,Assistant Commandant,50,27,0.6873,0.22211,0
SYNTH-CRPF-05-928333,CRPF-05,group centre,crpf,Sub-Inspector,41,17,0.2128,0.15083,0
SYNTH-CRPF-05-934969,CRPF-05,group centre,crpf,Inspector,46,24,0.9486,0.389988,0
SYNTH-CRPF-05-813955,CRPF-05,group centre,crpf,Head Constable,30,8,0.5898,0.194974,0
SYNTH-CRPF-05-732417,CRPF-05,group centre,crpf,Constable,25,2,0.8377,0.112712,0
SYNTH-CRPF-05-185165,CRPF-05,group centre,crpf,Inspector,46,22,0.4838,0.196091,0
SYNTH-CRPF-05-376445,CRPF-05,group centre,crpf,Inspector,41,21,0.5803,0.159953,0
SYNTH-CRPF-05-744251,CRPF-05,group centre,crpf,Assistant Commandant,51,28,0.3563,0.100068,0
SYNTH-CRPF-05-976714,CRPF-05,group centre,crpf,Assistant Sub-Inspector,30,10,0.8112,0.067733,0
SYNTH-CRPF-05-580277,CRPF-05,group centre,crpf,Assistant Sub-Inspector,36,12,0.77,0.192338,0
SYNTH-CRPF-05-943246,CRPF-05,group centre,crpf,Assistant Commandant,48,27,0.6192,0.095554,0
SYNTH-CRPF-05-654584,CRPF-05,group centre,crpf,Assistant Commandant,48,27,0.4427,0.327069,0
SYNTH-CRPF-05-381145,CRPF-05,group centre,crpf,Sub-Inspector,35,15,0.9734,0.112401,0
SYNTH-CRPF-05-337334,CRPF-05,group centre,crpf,Head Constable,27,5,0.6309,0.418976,0
SYNTH-CRPF-05-870416,CRPF-05,group centre,crpf,Head Constable,26,6,0.9862,0.388775,0
SYNTH-CRPF-05-209918,CRPF-05,group centre,crpf,Assistant Commandant,51,27,0.748,0.191184,0
SYNTH-CRPF-05-600758,CRPF-05,group centre,crpf,Head Constable,28,7,0.965,0.290543,0
SYNTH-CRPF-05-319724,CRPF-05,group centre,crpf,Head Constable,28,7,0.4987,0.146353,0
SYNTH-CRPF-05-813726,CRPF-05,group centre,crpf,Inspector,41,20,0.4123,0.423248,0
SYNTH-CRPF-05-879232,CRPF-05,group centre,crpf,Assistant Commandant,51,27,0.937,0.515426,0
SYNTH-CRPF-05-604191,CRPF-05,group centre,crpf,Inspector,45,21,0.1863,0.083921,0
SYNTH-CRPF-05-693174,CRPF-05,group centre,crpf,Head Constable,26,5,0.6994,0.258416,0
SYNTH-CRPF-05-251336,CRPF-05,group centre,crpf,Constable,24,4,0.3609,0.173861,0
SYNTH-CRPF-05-916239,CRPF-05,group centre,crpf,Head Constable,28,5,0.5495,0.261988,0
SYNTH-CRPF-05-726472,CRPF-05,group centre,crpf,Inspector,41,20,0.7317,0.396453,0
SYNTH-CRPF-05-331242,CRPF-05,group centre,crpf,Head Constable,32,8,0.8611,0.397892,0
SYNTH-CRPF-05-451435,CRPF-05,group centre,crpf,Sub-Inspector,41,17,0.248,0.08148,0
SYNTH-CRPF-05-949005,CRPF-05,group centre,crpf,Inspector,44,21,0.5934,0.056527,0
SYNTH-CRPF-05-227438,CRPF-05,group centre,crpf,Head Constable,30,8,0.5681,0.233559,0
SYNTH-CRPF-05-612914,CRPF-05,group centre,crpf,Head Constable,29,8,0.4295,0.059368,0
SYNTH-CRPF-05-278434,CRPF-05,group centre,crpf,Head Constable,25,5,0.4615,0.070549,0
SYNTH-CRPF-05-552164,CRPF-05,group centre,crpf,Constable,26,2,0.1156,0.124033,0
SYNTH-CRPF-05-224470,CRPF-05,group centre,crpf,Assistant Commandant,49,27,0.6732,0.224997,0
SYNTH-CRPF-05-630875,CRPF-05,group centre,crpf,Assistant Sub-Inspector,36,13,0.3547,0.04853,0
SYNTH-CRPF-05-732380,CRPF-05,group centre,crpf,Assistant Sub-Inspector,33,12,0.4258,0.150154,0
SYNTH-CRPF-05-801906,CRPF-05,group centre,crpf,Assistant Sub-Inspector,34,11,0.7345,0.11055,0
SYNTH-CRPF-05-950355,CRPF-05,group centre,crpf,Constable,22,1,0.5757,0.082823,0
SYNTH-CRPF-05-214847,CRPF-05,group centre,crpf,Assistant Sub-Inspector,35,14,0.8015,0.431539,0
SYNTH-CRPF-05-961916,CRPF-05,group centre,crpf,Inspector,46,24,0.8323,0.392765,0
SYNTH-CRPF-05-331908,CRPF-05,group centre,crpf,Sub-Inspector,37,15,0.8157,0.085965,0
SYNTH-CRPF-05-492160,CRPF-05,group centre,crpf,Sub-Inspector,38,15,0.4472,0.185524,0
SYNTH-CRPF-05-295533,CRPF-05,group centre,crpf,Head Constable,33,9,0.8138,0.098294,0
SYNTH-CRPF-05-195787,CRPF-05,group centre,crpf,Assistant Commandant,46,25,0.1006,0.15646,0
SYNTH-CRPF-05-122186,CRPF-05,group centre,crpf,Assistant Sub-Inspector,38,14,0.7727,0.105995,0
SYNTH-CRPF-05-195537,CRPF-05,group centre,crpf,Assistant Sub-Inspector,32,11,0.7782,0.047257,0
SYNTH-CRPF-05-468318,CRPF-05,group centre,crpf,Inspector,47,23,0.7824,0.0649,0
SYNTH-CRPF-05-686807,CRPF-05,group centre,crpf,Sub-Inspector,41,18,0.6928,0.222832,0
SYNTH-CRPF-05-692937,CRPF-05,group centre,crpf,Head Constable,33,9,0.8435,0.038098,0
SYNTH-CRPF-05-766170,CRPF-05,group centre,crpf,Head Constable,30,7,0.486,0.10236,0
SYNTH-CRPF-05-112607,CRPF-05,group centre,crpf,Assistant Sub-Inspector,32,11,0.8788,0.21883,0
SYNTH-CRPF-05-709632,CRPF-05,group centre,crpf,Sub-Inspector,39,16,0.9739,0.27471,0
SYNTH-CRPF-05-346788,CRPF-05,group centre,crpf,Inspector,45,24,0.4886,0.373105,0
SYNTH-CRPF-05-545482,CRPF-05,group centre,crpf,Constable,22,2,0.7296,0.742258,1
SYNTH-CRPF-05-725756,CRPF-05,group centre,crpf,Assistant Sub-Inspector,36,12,0.9204,0.271776,0
SYNTH-CRPF-05-236302,CRPF-05,group centre,crpf,Inspector,41,20,0.8493,0.406598,0
SYNTH-CRPF-05-871423,CRPF-05,group centre,crpf,Assistant Sub-Inspector,35,13,0.8813,0.184639,0
SYNTH-CRPF-05-354956,CRPF-05,group centre,crpf,Constable,22,1,0.4863,0.142263,0
SYNTH-CRPF-05-765808,CRPF-05,group centre,crpf,Inspector,44,22,0.309,0.311418,0
SYNTH-CRPF-05-622117,CRPF-05,group centre,crpf,Assistant Commandant,46,25,0.4333,0.326648,0
SYNTH-CRPF-05-203105,CRPF-05,group centre,crpf,Assistant Sub-Inspector,35,11,0.4833,0.541802,0
SYNTH-CRPF-05-631746,CRPF-05,group centre,crpf,Sub-Inspector,39,16,0.9243,0.179723,0
SYNTH-CRPF-05-125622,CRPF-05,group centre,crpf,Assistant Sub-Inspector,35,11,0.2617,0.370177,0
SYNTH-CRPF-05-888509,CRPF-05,group centre,crpf,Constable,27,4,0.6993,0.067147,0
SYNTH-CRPF-05-376295,CRPF-05,group centre,crpf,Assistant Commandant,50,27,0.89,0.054441,0
SYNTH-CRPF-05-941561,CRPF-05,group centre,crpf,Assistant Sub-Inspector,34,14,0.9464,0.069433,0
SYNTH-CRPF-05-962552,CRPF-05,group centre,crpf,Sub-Inspector,38,15,0.6745,0.174574,0
SYNTH-CRPF-05-629978,CRPF-05,group centre,crpf,Inspector,45,24,0.9788,0.193321,0
SYNTH-CRPF-05-445709,CRPF-05,group centre,crpf,Sub-Inspector,41,19,0.8346,0.523219,0
SYNTH-CRPF-05-407950,CRPF-05,group centre,crpf,Sub-Inspector,38,18,0.8602,0.363304,0
SYNTH-CRPF-05-324814,CRPF-05,group centre,crpf,Sub-Inspector,35,15,0.5586,0.091361,0
SYNTH-CRPF-05-875022,CRPF-05,group centre,crpf,Inspector,47,24,0.8098,0.387039,0
SYNTH-CRPF-05-636603,CRPF-05,group centre,crpf,Sub-Inspector,37,16,0.5608,0.089077,0
SYNTH-CRPF-05-357413,CRPF-05,group centre,crpf,Sub-Inspector,36,16,0.8786,0.197823,0
SYNTH-CRPF-05-413008,CRPF-05,group centre,crpf,Assistant Sub-Inspector,34,10,0.3998,0.094356,0
SYNTH-CRPF-05-697480,CRPF-05,group centre,crpf,Constable,23,3,0.3256,0.287036,0
SYNTH-CRPF-05-335657,CRPF-05,group centre,crpf,Assistant Sub-Inspector,33,10,0.8473,0.249023,0
SYNTH-CRPF-05-157871,CRPF-05,group centre,crpf,Assistant Sub-Inspector,36,14,0.7367,0.022588,0
SYNTH-CRPF-05-247156,CRPF-05,group centre,crpf,Assistant Sub-Inspector,34,14,0.9004,0.291719,0
SYNTH-CRPF-05-965718,CRPF-05,group centre,crpf,Assistant Commandant,47,27,0.5602,0.233626,0
SYNTH-CRPF-05-370953,CRPF-05,group centre,crpf,Constable,23,2,0.5816,0.028712,0
SYNTH-CRPF-05-777941,CRPF-05,group centre,crpf,Sub-Inspector,41,17,0.6717,0.133961,0
SYNTH-CRPF-05-403697,CRPF-05,group centre,crpf,Assistant Commandant,47,25,0.5295,0.103769,0
SYNTH-CRPF-05-714557,CRPF-05,group centre,crpf,Constable,23,3,0.3893,0.498572,0
SYNTH-CRPF-05-873332,CRPF-05,group centre,crpf,Sub-Inspector,42,19,0.7477,0.285135,0
SYNTH-CRPF-05-480905,CRPF-05,group centre,crpf,Sub-Inspector,36,15,0.9898,0.157622,0
SYNTH-CRPF-05-135124,CRPF-05,group centre,crpf,Sub-Inspector,40,16,0.6425,0.315519,0
SYNTH-CRPF-05-363400,CRPF-05,group centre,crpf,Head Constable,27,5,0.3652,0.468093,0
SYNTH-CRPF-05-159234,CRPF-05,group centre,crpf,Assistant Sub-Inspector,36,14,0.8022,0.088224,0
SYNTH-CRPF-05-482274,CRPF-05,group centre,crpf,Sub-Inspector,38,16,0.727,0.047958,0
SYNTH-CRPF-05-159446,CRPF-05,group centre,crpf,Head Constable,31,7,0.7216,0.111422,0
SYNTH-CRPF-05-640060,CRPF-05,group centre,crpf,Head Constable,28,6,0.9002,0.506836,0
SYNTH-CRPF-05-654938,CRPF-05,group centre,crpf,Inspector,40,20,0.7532,0.38894,0
SYNTH-CRPF-05-992601,CRPF-05,group centre,crpf,Constable,24,1,0.8448,0.570804,1
SYNTH-CRPF-05-953687,CRPF-05,group centre,crpf,Inspector,46,24,0.9749,0.682804,1
SYNTH-CRPF-05-325458,CRPF-05,group centre,crpf,Assistant Commandant,48,27,0.3622,0.156224,0
SYNTH-CRPF-05-220848,CRPF-05,group centre,crpf,Head Constable,29,7,0.5909,0.353873,0
SYNTH-CRPF-05-660833,CRPF-05,group centre,crpf,Constable,25,2,0.8863,0.388378,0
SYNTH-CRPF-05-502198,CRPF-05,group centre,crpf,Sub-Inspector,37,15,0.8436,0.540796,0
SYNTH-CRPF-05-134905,CRPF-05,group centre,crpf,Inspector,44,23,0.7765,0.346594,0
SYNTH-CRPF-05-897448,CRPF-05,group centre,crpf,Assistant Commandant,47,25,0.8157,0.331853,0
SYNTH-CRPF-05-335167,CRPF-05,group centre,crpf,Head Constable,25,5,0.809,0.370002,0
SYNTH-CRPF-05-781485,CRPF-05,group centre,crpf,Sub-Inspector,35,15,0.8779,0.330969,0
SYNTH-CRPF-05-493446,CRPF-05,group centre,crpf,Assistant Commandant,48,28,0.7493,0.215841,0
SYNTH-CRPF-05-923755,CRPF-05,group centre,crpf,Sub-Inspector,39,19,0.2494,0.326991,0
SYNTH-CRPF-05-654969,CRPF-05,group centre,crpf,Head Constable,30,7,0.5573,0.151363,0
SYNTH-CRPF-05-279655,CRPF-05,group centre,crpf,Assistant Commandant,47,26,0.9465,0.293449,0
SYNTH-CRPF-05-709362,CRPF-05,group centre,crpf,Constable,28,4,0.8074,0.294441,0
SYNTH-CRPF-05-538076,CRPF-05,group centre,crpf,Constable,27,4,0.6115,0.209334,0
SYNTH-CRPF-05-520999,CRPF-05,group centre,crpf,Inspector,46,22,0.9994,0.237475,0
SYNTH-CRPF-05-199689,CRPF-05,group centre,crpf,Assistant Commandant,46,26,0.5807,0.78417,1
SYNTH-CRPF-05-389884,CRPF-05,group centre,crpf,Head Constable,28,7,0.9713,0.104588,0
SYNTH-CRPF-05-869570,CRPF-05,group centre,crpf,Inspector,43,23,0.4029,0.35579,0
SYNTH-CRPF-05-274332,CRPF-05,group centre,crpf,Inspector,42,20,0.7617,0.187943,0
SYNTH-CRPF-05-107949,CRPF-05,group centre,crpf,Inspector,44,20,0.5362,0.130264,0
SYNTH-CRPF-05-692997,CRPF-05,group centre,crpf,Sub-Inspector,37,16,0.9058,0.291081,0
SYNTH-CRPF-05-967733,CRPF-05,group centre,crpf,Inspector,44,21,0.8774,0.118072,0
SYNTH-CRPF-05-610460,CRPF-05,group centre,crpf,Inspector,41,20,0.4765,0.158844,0
SYNTH-CRPF-05-910873,CRPF-05,group centre,crpf,Head Constable,33,9,0.4611,0.057209,0
SYNTH-CRPF-05-454121,CRPF-05,group centre,crpf,Assistant Commandant,49,28,0.9396,0.171126,0
SYNTH-CRPF-05-173315,CRPF-05,group centre,crpf,Assistant Commandant,48,27,0.6836,0.269263,0
SYNTH-CRPF-05-417277,CRPF-05,group centre,crpf,Sub-Inspector,38,16,0.7198,0.171686,0
SYNTH-CRPF-05-953681,CRPF-05,group centre,crpf,Head Constable,28,7,0.1883,0.505654,0
SYNTH-CRPF-05-153520,CRPF-05,group centre,crpf,Constable,25,4,0.9723,0.18529,0
SYNTH-CRPF-05-119766,CRPF-05,group centre,crpf,Constable,24,1,0.8121,0.337814,0
SYNTH-CRPF-05-675005,CRPF-05,group centre,crpf,Head Constable,32,8,0.1829,0.210985,0
SYNTH-CRPF-05-496204,CRPF-05,group centre,crpf,Assistant Commandant,47,25,0.6505,0.326364,0
SYNTH-CRPF-06-875131,CRPF-06,internal security duty,crpf,Assistant Commandant,51,27,0.9742,0.198633,0
SYNTH-CRPF-06-975781,CRPF-06,internal security duty,crpf,Inspector,43,22,0.6465,0.264773,0
SYNTH-CRPF-06-445859,CRPF-06,internal security duty,crpf,Assistant Commandant,48,28,0.6354,0.076412,0
SYNTH-CRPF-06-467776,CRPF-06,internal security duty,crpf,Inspector,43,22,0.9638,0.250613,0
SYNTH-CRPF-06-932117,CRPF-06,internal security duty,crpf,Assistant Commandant,48,28,0.6349,0.259098,0
SYNTH-CRPF-06-589133,CRPF-06,internal security duty,crpf,Assistant Commandant,48,27,0.5256,0.189429,0
SYNTH-CRPF-06-256046,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,31,11,0.5228,0.465728,0
SYNTH-CRPF-06-487881,CRPF-06,internal security duty,crpf,Sub-Inspector,38,16,0.8582,0.311295,0
SYNTH-CRPF-06-538945,CRPF-06,internal security duty,crpf,Constable,24,4,0.5708,0.460303,0
SYNTH-CRPF-06-151190,CRPF-06,internal security duty,crpf,Head Constable,29,9,0.5031,0.066969,0
SYNTH-CRPF-06-504431,CRPF-06,internal security duty,crpf,Assistant Commandant,46,25,0.706,0.185974,0
SYNTH-CRPF-06-325390,CRPF-06,internal security duty,crpf,Sub-Inspector,39,16,0.8249,0.153257,0
SYNTH-CRPF-06-504459,CRPF-06,internal security duty,crpf,Sub-Inspector,41,19,0.6198,0.256319,0
SYNTH-CRPF-06-281239,CRPF-06,internal security duty,crpf,Inspector,45,21,0.3953,0.159325,0
SYNTH-CRPF-06-661144,CRPF-06,internal security duty,crpf,Constable,26,2,0.4111,0.400159,0
SYNTH-CRPF-06-980506,CRPF-06,internal security duty,crpf,Sub-Inspector,36,15,0.5614,0.381395,0
SYNTH-CRPF-06-261506,CRPF-06,internal security duty,crpf,Sub-Inspector,38,15,0.8693,0.334784,0
SYNTH-CRPF-06-645567,CRPF-06,internal security duty,crpf,Constable,24,4,0.6823,0.208312,0
SYNTH-CRPF-06-202767,CRPF-06,internal security duty,crpf,Constable,26,2,0.7037,0.150281,0
SYNTH-CRPF-06-916736,CRPF-06,internal security duty,crpf,Head Constable,29,5,0.7455,0.095131,0
SYNTH-CRPF-06-865047,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,33,13,0.7186,0.078863,0
SYNTH-CRPF-06-887065,CRPF-06,internal security duty,crpf,Head Constable,30,8,0.6901,0.242279,0
SYNTH-CRPF-06-172555,CRPF-06,internal security duty,crpf,Inspector,44,23,0.9842,0.398846,0
SYNTH-CRPF-06-766691,CRPF-06,internal security duty,crpf,Constable,23,3,0.6676,0.061743,0
SYNTH-CRPF-06-750708,CRPF-06,internal security duty,crpf,Inspector,43,21,0.3572,0.065507,0
SYNTH-CRPF-06-529507,CRPF-06,internal security duty,crpf,Sub-Inspector,39,15,0.3818,0.392042,0
SYNTH-CRPF-06-756404,CRPF-06,internal security duty,crpf,Assistant Commandant,50,28,0.6872,0.124467,0
SYNTH-CRPF-06-258932,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,37,13,0.8464,0.244112,0
SYNTH-CRPF-06-989933,CRPF-06,internal security duty,crpf,Inspector,45,21,0.8126,0.242891,0
SYNTH-CRPF-06-667579,CRPF-06,internal security duty,crpf,Inspector,43,23,0.6882,0.251459,0
SYNTH-CRPF-06-383554,CRPF-06,internal security duty,crpf,Head Constable,25,5,0.4935,0.21197,0
SYNTH-CRPF-06-111956,CRPF-06,internal security duty,crpf,Constable,23,2,0.5248,0.275198,0
SYNTH-CRPF-06-181998,CRPF-06,internal security duty,crpf,Constable,26,2,0.4741,0.162484,0
SYNTH-CRPF-06-809300,CRPF-06,internal security duty,crpf,Assistant Commandant,45,25,0.8588,0.303287,0
SYNTH-CRPF-06-142146,CRPF-06,internal security duty,crpf,Assistant Commandant,51,27,0.8289,0.498814,0
SYNTH-CRPF-06-983882,CRPF-06,internal security duty,crpf,Assistant Commandant,48,26,0.7091,0.302793,0
SYNTH-CRPF-06-830072,CRPF-06,internal security duty,crpf,Assistant Sub-Inspector,31,11,0.7354,0.208135,0
SYNTH-CRPF-06-180031,CRPF-06,internal security duty,crpf,Constable,26,2,0.3688,0.433963,0
